"Refs","Value","Footprint","Qty","DNP"
"D1","RED","LED_THT:LED_D5.0mm","1",""
"D2","YEL","LED_THT:LED_D5.0mm","1",""
"D3","GRN","LED_THT:LED_D5.0mm","1",""
"D4","RED","LED_THT:LED_D5.0mm","1",""
"D5","YEL","LED_THT:LED_D5.0mm","1",""
"D6","GRN","LED_THT:LED_D5.0mm","1",""
"D7","RED","LED_THT:LED_D5.0mm","1",""
"D8","YEL","LED_THT:LED_D5.0mm","1",""
"D9","GRN","LED_THT:LED_D5.0mm","1",""
"D10","RED","LED_THT:LED_D5.0mm","1",""
"D11","YEL","LED_THT:LED_D5.0mm","1",""
"D12","GRN","LED_THT:LED_D5.0mm","1",""
"D13","RED","LED_THT:LED_D5.0mm","1",""
"D14","GRN","LED_THT:LED_D5.0mm","1",""
"D15","RED","LED_THT:LED_D5.0mm","1",""
"D16","GRN","LED_THT:LED_D5.0mm","1",""
"D17","RED","LED_THT:LED_D5.0mm","1",""
"D18","GRN","LED_THT:LED_D5.0mm","1",""
"D19","RED","LED_THT:LED_D5.0mm","1",""
"D20","GRN","LED_THT:LED_D5.0mm","1",""
"J1","RPi_GPIO","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","1",""
"R1","330","Resistor_SMD:R_0805_2012Metric","1",""
"R2","330","Resistor_SMD:R_0805_2012Metric","1",""
"R3","330","Resistor_SMD:R_0805_2012Metric","1",""
"R4","330","Resistor_SMD:R_0805_2012Metric","1",""
"R5","330","Resistor_SMD:R_0805_2012Metric","1",""
"R6","330","Resistor_SMD:R_0805_2012Metric","1",""
"R7","330","Resistor_SMD:R_0805_2012Metric","1",""
"R8","330","Resistor_SMD:R_0805_2012Metric","1",""
"R9","330","Resistor_SMD:R_0805_2012Metric","1",""
"R10","330","Resistor_SMD:R_0805_2012Metric","1",""
"R11","330","Resistor_SMD:R_0805_2012Metric","1",""
"R12","330","Resistor_SMD:R_0805_2012Metric","1",""
"R13","330","Resistor_SMD:R_0805_2012Metric","1",""
"R14","330","Resistor_SMD:R_0805_2012Metric","1",""
"R15","330","Resistor_SMD:R_0805_2012Metric","1",""
"R16","330","Resistor_SMD:R_0805_2012Metric","1",""
"R17","330","Resistor_SMD:R_0805_2012Metric","1",""
"R18","330","Resistor_SMD:R_0805_2012Metric","1",""
"R19","330","Resistor_SMD:R_0805_2012Metric","1",""
"R20","330","Resistor_SMD:R_0805_2012Metric","1",""
"U1","Bluepill_A","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","1",""
"U2","Bluepill_B","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","1",""
